-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
-- Please Select --,-- Selectati --,module,Magento_ImportExport
-- Please Select --,-- Selectati --,module,Magento_Paypal
-- Please Select --,-- Selectati --,module,Magento_Store
-- Please Select --,-- Selectati --,module,Magento_Theme
-- Please Select --,-- Selectati --,module,Magento_Widget
-- Please Select a Category --,-- Selectati o categorie --,module,Magento_Catalog
-- Please Select Billing Agreement--,-- Selectati Acordul de Facturare --,module,Magento_Paypal
-- Select --,-- Selectati --,module,Magento_Bundle
--Please Select--,-- Selectati --,module,Magento_Directory
--Please Select--,-- Selectati --,module,Magento_Payment
--Please Select--,-- Selectati --,module,Magento_Paypal
"""%1"" cannot contain more than %2 lines.","""%1"" nu poate contine mai mult de %2 randuri.",module,Magento_Eav
"""%1"" contains non-alphabetic characters.","""%1"" contine caractere non alfabetice.",module,Magento_Customer
"""%1"" contains non-alphabetic characters.","""%1"" contine caractere non-alfabetice.",module,Magento_Eav
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contine caractere non alfanumerice.",module,Magento_Customer
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contine caractere non-alfabetice sau non-numerice.",module,Magento_Eav
"""%1"" contains non-numeric characters.","""%1"" contine caractere non numerice.",module,Magento_Customer
"""%1"" contains non-numeric characters.","""%1"" cntine caractere non-numerice.",module,Magento_Eav
"""%1"" coupon code is not valid.","Codul de cupon ""%1"" nu este valid.",module,Magento_Sales
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Codul de cupon ""%1"" nu a fost aplicat. Este selectata optiunea Nu aplicati reducere pentru aceste articole.",module,Magento_Sales
"""%1"" does not fit the entered date format.","""%1"" nu coincide cu formatul datei introdus.",module,Magento_Customer
"""%1"" does not fit the entered date format.","""%1"" nu coincide cu formatul datei introdus.",module,Magento_Eav
"""%1"" exceeds the allowed file size.","""%1"" depaseste marimea admisa.",module,Magento_Customer
"""%1"" exceeds the allowed file size.","""%1"" depaseste marimea permisa a fisierului.",module,Magento_Eav
"""%1"" height exceeds allowed value of %2 px.","înaltimea ""%1"" depaseste valoarea admisa de %2 px.",module,Magento_Customer
"""%1"" height exceeds allowed value of %2 px.","înaltimea ""%1"" depaseste valoarea admisa de %2 px.",module,Magento_Eav
"""%1"" invalid type entered.","Tip ""%1"" nevalid introdus .",module,Magento_Customer
"""%1"" invalid type entered.","Tip ""%1"" nevalid introdus.",module,Magento_Eav
"""%1"" is a required value.","""%1"" este o valoare necesara.",module,Magento_Customer
"""%1"" is a required value.","""%1"" este o valoare necesara.",module,Magento_Eav
"""%1"" is an empty string.","""%1"" este un sir gol.",module,Magento_Customer
"""%1"" is an empty string.","""%1"" este un sir gol.",module,Magento_Eav
"""%1"" is not a valid date.","""%1"" nu este o data valida.",module,Magento_Customer
"""%1"" is not a valid date.","""%1"" nu este o data valida.",module,Magento_Eav
"""%1"" is not a valid email address.","""%1"" nu este o adresa de email valida.",module,Magento_Customer
"""%1"" is not a valid email address.","""%1"" nu este o adresa email valida.",module,Magento_Eav
"""%1"" is not a valid file extension.","""%1"" nu este o extensie de fisier valida.",module,Magento_Customer
"""%1"" is not a valid file extension.","""%1"" nu este o extensie de fisier valida.",module,Magento_Eav
"""%1"" is not a valid file.","""%1"" nu este un fisier valid.",module,Magento_Customer
"""%1"" is not a valid file.","""%1"" nu este un fisier valid.",module,Magento_Eav
"""%1"" is not a valid hostname.","""%1"" nume gazda nevalid.",module,Magento_Customer
"""%1"" is not a valid hostname.","""%1"" nu este un nume de gazda valid.",module,Magento_Eav
"""%1"" is not a valid image format","""%1"" nu este un format de imagine valid.",module,Magento_Eav
"""%1"" is not a valid image format.","""%1"" nu este un format de imagine valid.",module,Magento_Customer
"""%1"" is not a valid URL.","""%1"" nu este un URL valid.",module,Magento_Customer
"""%1"" is not a valid URL.","""%1"" nu este un URL valid.",module,Magento_Eav
"""%1"" length must be equal or greater than %2 characters.","Lungimea ""%1"" trebuie sa fie egala sau mai mare de %2 caractere.",module,Magento_Customer
"""%1"" length must be equal or greater than %2 characters.","Lungimea ""%1"" trebuie sa fie egala cu sau mai mare de %2 caractere.",module,Magento_Eav
"""%1"" length must be equal or less than %2 characters.","Lungimea ""%1"" trebuie sa fie egala sau mai mica de %2 caractere.",module,Magento_Customer
"""%1"" length must be equal or less than %2 characters.","Lungimea ""%1"" trebuie sa fie egala cu sau mai mica de %2 caractere.",module,Magento_Eav
"""%1"" section source is not supported","Sursa sectiunii ""%1"" nu este acceptata.",module,Magento_Customer
"""%1"" uses too many characters.","""%1"" foloseste pra multe caractere.",module,Magento_Customer
"""%1"" uses too many characters.","""%1"" foloseste prea multe caractere.",module,Magento_Eav
"""%1"" width exceeds allowed value of %2 px.","Latimea ""%1"" depaseste valoarea admisa de %2 px.",module,Magento_Customer
"""%1"" width exceeds allowed value of %2 px.","Latimea ""%1"" depaseste valoarea admisa de %2 px.",module,Magento_Eav
"""file"" parameter must be specified","Parametrul ""fisier"" trebuie specificat",module,Magento_Email
